structure_number,latitude,longitude,year_built,hwb_class,material,gmpe_model,sa1s_used,replacement_cost_usd,repair_cost_usd,p_none,p_none,p_slight,p_slight,p_moderate,p_moderate,p_extensive,p_extensive,p_complete,p_complete,predicted_ds,obs
52 0341,34.27833333,-118.8716667,1970.0,HWB3,prestressed_concrete,ASK14,0.129854564124244,5632126.500000003,3.459236602520811e-32,1.0,1.0,0.0,2.0473223309097845e-37,0.0,6.871990040643483e-44,0.0,1.406359714833198e-49,0.0,1.909301575916703e-61,none,none
52 0343,34.28166667,-118.7,1968.0,HWB5,concrete,ASK14,0.262017285229939,0.0,0.0,0.0,0.9996667427999528,0.0,0.00033307373189088267,1.0,1.833547030366106e-07,0.0,1.1345325491446928e-10,0.0,6.096451713514454e-18,none,none
52 0346,34.28166667,-118.77,1970.0,HWB3,concrete,ASK14,0.251295606917948,1351350.0,8.500957038272258e-17,1.0,1.0,0.0,2.0968321466194286e-21,0.0,2.7253928129835306e-26,0.0,1.1101057899541442e-30,0.0,4.594688992290226e-40,none,none
52 0349,34.15333333,-118.8166667,1973.0,HWB5,prestressed_concrete,ASK14,0.162730296680659,9510861.360000003,0.00103711047787201,1.0,0.99999999636524,0.0,3.63471897865249e-09,0.0,4.10399340273497e-14,0.0,1.3485424203236026e-18,0.0,4.0221357084647603e-28,none,none
52 0354,34.28333333,-118.7883333,1976.0,HWB6,concrete,ASK14,0.239060523152144,1486485.0,0.04045556430547862,1.0,0.9999990928139078,0.0,9.071859747405084e-07,0.0,1.1741873634763125e-13,0.0,8.696773630906243e-17,0.0,5.00692075313877e-25,none,none
52 0355,34.28666667,-118.795,1976.0,HWB6,concrete,ASK14,0.191524370327274,1486485.0,9.060903363203867e-05,1.0,0.9999999979681591,0.0,2.0318409239129136e-09,0.0,1.6455662248066012e-17,0.0,4.4950014202886e-21,0.0,2.7966087920108957e-30,none,none
52 0368,34.26333333,-118.8466667,1970.0,HWB7,concrete,ASK14,0.138476422613296,0.0,0.0,1.0,1.0,0.0,4.266020111801629e-24,0.0,1.1927937584643339e-35,0.0,7.840839315215373e-45,0.0,3.7142492129677468e-59,none,none
52 0387,34.29,-118.7983333,1974.0,HWB5,prestressed_concrete,ASK14,0.155625673987287,4695090.4,0.0001324604850654963,1.0,0.9999999990595938,0.0,9.403988239148104e-10,0.0,7.348475527627889e-15,0.0,1.8311250204826208e-19,0.0,3.3514405286435245e-29,none,none
52 0401,34.16166667,-118.8283333,1973.0,HWB5,concrete,ASK14,0.174996453452455,2330853.525,0.002069657586770086,1.0,0.9999999704030202,0.0,2.9596371907529915e-08,0.0,6.077971157730972e-13,0.0,3.131864109925117e-17,0.0,2.0674932758214293e-26,none,none
52 0411,34.18,-118.8833333,1982.0,HWB6,concrete,ASK14,0.138191054178589,1486485.0,1.2838894600530317e-09,1.0,0.9999999999999712,0.0,2.879027727819058e-14,0.0,3.841350442954031e-24,0.0,2.4056851839248806e-28,0.0,5.6163295394292905e-39,none,none
52 0412,34.18,-118.885,1982.0,HWB6,concrete,ASK14,0.140227472349368,1486485.0,2.2394763956284277e-09,1.0,0.9999999999999498,0.0,5.021861179605953e-14,0.0,8.058109788824466e-24,0.0,5.391350360444537e-28,0.0,1.4583966278325995e-38,none,none
52 0416,34.17833333,-118.86,1970.0,HWB5,concrete,ASK14,0.143460305320398,1351350.0,2.859114156041007e-06,1.0,0.9999999999294756,0.0,7.052413599015965e-11,0.0,2.813806763981861e-16,0.0,4.232140914752838e-21,0.0,3.1780716055704464e-31,none,none
52 0417,34.17833333,-118.86,1970.0,HWB5,concrete,ASK14,0.144210183207911,1351350.0,3.3915318268255455e-06,1.0,0.9999999999163427,0.0,8.36569394036609e-11,0.0,3.484765465684453e-16,0.0,5.413651961554397e-21,0.0,4.304115377033673e-31,none,none
52 0004,34.41333333,-118.7866667,1985.0,HWB6,concrete,ASK14,0.197330487320807,1486485.0,0.00022097417020696848,1.0,0.9999999950448167,0.0,4.955183161638808e-09,0.0,5.835353231822662e-17,0.0,1.8235098279868972e-20,0.0,1.5314263519368654e-29,none,none
52 0029,34.265,-118.6683333,1962.0,HWB3,prestressed_concrete,ASK14,0.165358911449595,3831828.0,5.9981458873925e-26,1.0,1.0,0.0,5.217810209803819e-31,0.0,6.690284768869552e-37,0.0,4.096752979085317e-42,0.0,4.521683102398755e-53,none,none
52 0047,34.12666667,-118.8733333,1932.0,HWB5,concrete,ASK14,0.112268392255121,1351350.0,4.3831541550534437e-10,1.0,0.9999999999999892,0.0,1.0811775973764596e-14,0.0,5.657626413577417e-21,0.0,1.8542832383077776e-26,0.0,9.483047754099304e-38,none,none
52 0082,34.27166667,-118.6983333,1965.0,HWB7,prestressed_concrete,ASK14,0.177012388089739,1351350.0,2.1277882604273942e-14,1.0,1.0,0.0,5.248549623587048e-19,0.0,2.5630602082341357e-29,0.0,1.1756095261813859e-37,0.0,7.957427171935817e-51,none,none
52 0085,34.27166667,-118.7383333,1911.0,HWB3,concrete,ASK14,0.235225354424356,450269.82,1.1505483620953032e-18,1.0,1.0,0.0,8.51726848246683e-23,0.0,7.683041906077457e-28,0.0,2.3208578408643705e-32,0.0,5.4221811027475506e-42,none,none
52 0105,34.27333333,-118.7983333,1967.0,HWB3,prestressed_concrete,ASK14,0.229184914884868,3751491.744,2.6368457885235964e-18,1.0,1.0,0.0,2.342882097934691e-23,0.0,1.8302600549102607e-28,0.0,4.914840617378841e-33,0.0,9.167350355937023e-43,none,none
52 0115,34.27833333,-118.7016667,1962.0,HWB4,concrete,ASK14,0.212495634787464,665598.4335,9.991526267221488e-21,1.0,1.0,0.0,5.003712326143801e-25,0.0,2.572894400065358e-30,0.0,4.906887655620724e-35,0.0,4.756233867780714e-45,none,none
52 0117,34.26,-118.7466667,1962.0,HWB7,concrete,ASK14,0.170403238050299,0.0,0.0,1.0,1.0,0.0,9.409149660173512e-20,0.0,2.9506099662693077e-30,0.0,1.0016584269460818e-38,0.0,4.4903570853327524e-52,none,none
