structure_number,latitude,longitude,year_built,hwb_class,material,design_era,gmpe_model,sa1s_used,obs,replacement_cost_usd,vs30,nehrp_class,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,repair_cost_usd
52 0047,34.12666667,-118.8733333,1932,HWB5,other,conventional,ASK14,0.112268392255121,none,1351350.0,489.5753186020999,C,0.9999999999999892,1.0811775973764596e-14,5.657626413577417e-21,1.8542832383077776e-26,9.483047754099304e-38,none,4.3831541550534437e-10
52 0082,34.27166667,-118.6983333,1965,HWB7,other,conventional,ASK14,0.177012388089739,none,1351350.0,545.0216425316476,C,1.0,5.248549623587048e-19,2.5630602082341357e-29,1.1756095261813859e-37,7.957427171935817e-51,none,2.1277882604273942e-14
52 0085,34.27166667,-118.7383333,1911,HWB3,other,conventional,ASK14,0.235225354424356,none,450269.82,358.059673672976,CD,1.0,8.51726848246683e-23,7.683041906077457e-28,2.3208578408643705e-32,5.4221811027475506e-42,none,1.1505483620953032e-18
52 0105,34.27333333,-118.7983333,1967,HWB3,other,conventional,ASK14,0.229184914884868,none,3751491.744,303.409812785561,CD,1.0,2.342882097934691e-23,1.8302600549102607e-28,4.914840617378841e-33,9.167350355937023e-43,none,2.6368457885235964e-18
52 0115,34.27833333,-118.7016667,1962,HWB4,other,conventional,ASK14,0.212495634787464,none,665598.4335,452.2354487189198,C,1.0,5.003712326143801e-25,2.572894400065358e-30,4.906887655620724e-35,4.756233867780714e-45,none,9.991526267221488e-21
52 0117,34.26,-118.7466667,1962,HWB7,other,conventional,ASK14,0.170403238050299,none,0.0,482.1194165197463,C,1.0,9.409149660173512e-20,2.9506099662693077e-30,1.0016584269460818e-38,4.4903570853327524e-52,none,0.0
52 0118,34.26333333,-118.735,1968,HWB10,other,conventional,ASK14,0.166652274303861,none,26983474.0175,510.0774426269619,C,1.0,4.939206429249299e-24,7.591031632736094e-34,2.3326867559282933e-39,9.829445838617627e-49,none,3.998308452160197e-18
52 0119,34.28666667,-118.6966667,1935,HWB7,other,conventional,ASK14,0.275519490422495,none,1351350.0,348.389548237471,CD,0.9999999999817327,1.8267239721431214e-11,1.5164671385620832e-19,2.288703950975471e-26,1.8563838753461607e-37,none,7.405630483209129e-07
52 0120,34.28666667,-118.7233333,1979,HWB4,other,seismic,ASK14,0.284535293283793,none,1486485.0,304.9920889395777,CD,1.0,6.454664848902393e-19,1.665964952300655e-23,1.1898013516099933e-27,1.4421568748783685e-36,none,2.8786269021447184e-14
52 0122,34.27666667,-118.8733333,1952,HWB5,other,conventional,ASK14,0.126847485753516,none,1351350.0,467.2305296527735,C,0.9999999999989683,1.0317762284286316e-12,1.4864590206642755e-18,1.0410159070066631e-23,2.030300393197226e-34,none,4.182888489023969e-08
52 0123,34.265,-118.7466667,1966,HWB5,other,conventional,ASK14,0.21385253250521,none,1351350.0,379.601338191893,C,0.9999950332115587,4.966261325764585e-06,5.270219335531519e-10,9.365983494281188e-14,5.518016073441765e-22,none,0.20139172420615692
52 0124,34.25666667,-118.76,1965,HWB7,other,conventional,ASK14,0.15172862160729,none,1351350.0,522.8260229492178,C,1.0,3.9849917630468037e-22,3.2332427210253816e-33,4.3814156071680165e-42,5.586893015484196e-56,none,1.6155355857329433e-17
52 0125,34.26666667,-118.76,1999,HWB10,other,seismic,ASK14,0.206951784420437,none,1985733.75,374.8553283691406,C,1.0,1.6239499837953943e-19,2.199725246684978e-28,1.9890705492478906e-33,4.452790624539484e-42,none,9.674196908348938e-15
52 0141,34.18,-118.875,1939,HWB5,other,conventional,ASK14,0.130835690963959,none,1351350.0,438.6386352539217,C,0.9999999999969078,3.092183993821656e-12,5.7571534746402266e-18,4.8871619764837163e-23,1.3380794647553471e-33,none,1.2535930761238535e-07
52 0148,34.27333333,-118.7783333,1971,HWB5,other,conventional,ASK14,0.244539299586145,none,1351350.0,301.7790486618808,CD,0.9999109343488934,8.903755742861722e-05,2.8082296146439805e-08,1.1381754580103752e-11,2.887890188497131e-19,none,3.612666862990559
52 0150,34.28166667,-118.795,1981,HWB6,other,seismic,ASK14,0.237599980967556,none,1486485.0,293.4808996582037,CD,0.9999992212493296,7.787505769915119e-07,9.338695689401045e-14,6.728989051153064e-17,3.6431849662917064e-25,none,0.034728042673648034
52 0169,34.17,-118.7683333,1975,HWB16,other,seismic,ASK14,0.189740198834963,none,1899397.5,358.6271954732239,CD,1.0,0.0,1.6338980526476742e-30,9.586279282735004e-36,1.0987951796142899e-44,none,2.482783021550557e-25
52 0171,34.26166667,-118.66,1974,HWB7,other,conventional,ASK14,0.175838785190834,none,0.0,604.3767480468672,BC,1.0,3.8963798812496924e-19,1.7609952502280046e-29,7.663311741207594e-38,4.8266374015159203e-51,none,0.0
52 0172,34.24166667,-118.9,1972,HWB5,other,conventional,ASK14,0.119896542266529,none,0.0,472.7716979980469,C,0.9999999999998683,1.3169395448047564e-13,1.1891096619874308e-19,5.866288179951994e-25,6.168639547928814e-36,none,0.0
52 0175,34.39666667,-118.795,1974,HWB5,other,conventional,ASK14,0.190087626282973,none,1351350.0,366.8967614746025,C,0.9999997244666611,2.7552217908022814e-07,1.1158865458054341e-11,9.588475063245736e-16,1.5624920985884446e-24,none,0.011171013587563573
52 0204,34.27833333,-118.795,1979,HWB4,other,seismic,ASK14,0.239182438257362,none,2636033.4,292.132091064452,CD,1.0,1.9316860043866627e-22,1.910833538244124e-27,6.224648736285368e-32,1.6801374180279715e-41,none,1.5276369480330615e-17
52 0206,34.27166667,-118.78,1956,HWB5,other,conventional,ASK14,0.23293323151841,none,0.0,312.1544360351382,CD,0.9999671423415165,3.2850669135513077e-05,6.98724703654651e-09,2.100908159694764e-12,3.140411365836825e-20,none,0.0
52 0225,34.25666667,-118.7433333,1962,HWB7,other,conventional,ASK14,0.157467133747811,none,1351350.0,526.5610190383807,C,1.0,2.3721827496311407e-21,2.9662165855788117e-32,5.392114423564947e-41,1.0279278575464946e-54,none,9.616947476462798e-17
52 0226,34.29666667,-118.72,1979,HWB4,other,seismic,ASK14,0.284618651228633,none,16469609.6565,310.2342822265646,CD,1.0,6.539510017970991e-19,1.6905943323700807e-23,1.208990183287322e-27,1.4691317958002446e-36,none,3.2313181174315296e-13
52 0227,34.29333333,-118.72,1979,HWB4,other,seismic,ASK14,0.286982219509489,none,7047040.000000001,307.8004370117177,CD,1.0,9.446925133193972e-19,2.5562566813475586e-23,1.8976444785394563e-27,2.476890589343758e-36,none,1.997329924495309e-13
52 0228,34.29,-118.7216667,1979,HWB4,other,seismic,ASK14,0.286538969009494,none,4776968.196,305.9533596124247,CD,1.0,8.820413594998893e-19,2.3664571645132665e-23,1.7445209863396227e-27,2.2467984897166143e-36,none,1.264135513324972e-13
52 0229,34.28,-118.73,1965,HWB7,other,conventional,ASK14,0.27237833933948,none,4997562.57,311.2559191894289,CD,0.9999999999876235,1.2376514298895796e-11,8.997790664791959e-20,1.2406200757718777e-26,8.890097134399609e-38,none,1.8555721741905758e-06
52 0231,34.28333333,-118.6983333,1946,HWB3,other,conventional,ASK14,0.291670373741579,none,1351350.0,326.5537626914062,CD,1.0,1.9326944099002133e-18,5.718815494901059e-23,4.5678105314664485e-27,6.858699944882924e-36,none,7.835858176479252e-14
52 0232,34.275,-118.665,1965,HWB7,other,conventional,ASK14,0.265616711190933,none,1351350.0,394.0144897460504,C,0.9999999999947876,5.212404486326826e-12,2.832744679885619e-20,3.203605948897376e-27,1.7495445392307846e-38,none,2.1131348714035738e-07
52 0233,34.26833333,-118.6783333,1965,HWB5,other,conventional,ASK14,0.174714945685635,none,1351350.0,576.8354173315826,BC,0.9999999717072987,2.8292127905837303e-08,5.733726333363511e-13,2.9251988004149536e-17,1.8973842057378603e-26,none,0.0011470390074176603
52 0234,34.26833333,-118.6816667,1965,HWB5,other,conventional,ASK14,0.174487838922566,none,3884530.65,576.3620191919338,BC,0.9999999727202163,2.72792366647883e-08,5.469639768610783e-13,2.768102013773872e-17,1.7701427103915044e-26,none,0.0031791809307377653
52 0235,34.26666667,-118.7166667,1982,HWB4,other,seismic,ASK14,0.161977709409098,none,1486485.0,558.3433996909143,C,1.0,1.5650687985203275e-31,1.7896354454637004e-37,9.979121983311769e-43,9.208492057941987e-54,none,6.979375161406274e-27
52 0236,34.29166667,-118.72,1979,HWB4,other,seismic,ASK14,0.28536448157424,none,1486485.0,306.5835144042969,CD,1.0,7.348106061205829e-19,1.927266258203181e-23,1.3946337991464769e-27,1.733505660649879e-36,none,3.277084071535725e-14
52 0242,34.14333333,-118.8566667,1953,HWB5,other,conventional,ASK14,0.120527218300875,none,1351350.0,479.9842380815987,C,0.99999999999984,1.6003811561784254e-13,1.5093057891626767e-19,7.692859816783702e-25,8.568262618357245e-36,none,6.488041543268064e-09
52 0251,34.175,-118.7633333,1980,HWB16,other,seismic,ASK14,0.19329426051884,none,15122903.796,363.948038019299,C,1.0,0.0,4.732673588289448e-30,3.045716815848161e-35,4.0280884791074374e-44,none,5.725856540092314e-24
52 0252,34.18,-118.7683333,1980,HWB16,other,seismic,ASK14,0.190443946449407,none,4826914.092000001,371.2115961726978,C,1.0,0.0,2.0214483949897833e-30,1.208089885390973e-35,1.424830640326635e-44,none,7.806031978874569e-25
52 0260,34.43166667,-118.76,1983,HWB6,other,seismic,ASK14,0.193080391500363,none,1486485.0,379.0741162109372,C,0.9999999974074827,2.5925173129291994e-09,2.3238549333126803e-17,6.583480025945086e-21,4.4428365761609616e-30,none,0.0001156121457032338
52 0261,34.43833333,-118.76,1983,HWB8,other,seismic,ASK14,0.192465295817087,none,1486485.0,375.18953125,C,0.9999999999829671,1.7031347037231594e-11,1.579919008948321e-15,3.1177953373760524e-19,2.623474951530851e-27,none,7.596932549557215e-07
52 0262,34.245,-118.8683333,1982,HWB5,other,seismic,ASK14,0.121566907338513,none,0.0,496.16724490586,C,0.9999999999997801,2.198809284370608e-13,2.22677614157758e-19,1.1972438815889638e-24,1.4651441887606592e-35,none,0.0
52 0263,34.145,-118.835,1968,HWB5,other,conventional,ASK14,0.155938086702805,none,1351350.0,380.8480224608818,C,0.9999999989996636,1.0003284355853241e-09,7.947180289729124e-15,2.00508443643907e-19,3.75124615297394e-29,none,4.055467416435287e-05
52 0264,34.265,-118.7833333,1961,HWB7,other,conventional,ASK14,0.197781106893986,none,1351350.0,372.9853462946288,C,0.9999999999999999,6.423911078537575e-17,1.14009525855565e-26,1.2569915260474117e-34,2.8276374869040313e-47,none,2.60428567202706e-12
52 0271,34.18,-118.8733333,1985,HWB4,other,seismic,ASK14,0.130515781194054,none,4063059.0,438.5073093852693,C,1.0,2.833275157503671e-37,9.78188730883021e-44,2.0485323444392782e-49,2.9063723242499437e-61,none,3.4535324180231415e-32
53 0002,34.145,-118.7566667,1949,HWB5,other,conventional,ASK14,0.154996747962373,none,7973775.810000001,445.5584042083024,C,0.999999999170133,8.298606423828937e-10,6.271630913458111e-15,1.5240500142105017e-19,2.668518533391159e-29,none,0.0001985176824672336
53 0003,34.145,-118.7,1973,HWB7,other,conventional,ASK14,0.197340255912168,none,0.0,375.9653869628922,C,0.9999999999999999,5.84933076171175e-17,1.01153693937255e-26,1.095757058671614e-34,2.4061171658440556e-47,none,0.0
53 0004,34.00666667,-118.0966667,1921,HWB5,other,conventional,ASK14,0.161214511319293,none,19843385.562,269.3095625505877,D,0.9999999972512669,2.7487043775671807e-09,2.873222396527214e-14,8.909408043936763e-19,2.398770218833373e-28,none,0.0016363536387883598
53 0006,33.99666667,-118.0733333,1968,HWB5,other,conventional,ASK14,0.126280417850779,none,17692166.9925,336.2382536535141,CD,0.9999999999991215,8.78512072535354e-13,1.2195237813753233e-18,8.30616620593377e-24,1.5423339819407201e-34,none,4.6628519488489247e-07
53 0009,34.45,-118.6133333,1968,HWB5,other,conventional,ASK14,0.339393979866791,none,1351350.0,338.0600467500642,CD,0.9825380451741449,0.017387115119000884,7.461667913594601e-05,2.2302752087707004e-07,1.973931669397147e-13,none,713.0243477567157
