structure_number,latitude,longitude,year_built,hwb_class,material,design_era,sa1s_shakemap,obs,replacement_cost_usd,vs30,nehrp_class,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,repair_cost_usd
52 0204,34.27833333,-118.795,1979,HWB4,other,seismic,0.4306,none,2636033.4,292.132091064452,CD,0.9999999999917981,8.199854385516502e-12,2.068945719794628e-15,9.571319781489347e-19,4.1502028142229607e-26,none,6.488896366204275e-07
52 0206,34.27166667,-118.78,1956,HWB5,other,conventional,0.5834,none,0.0,312.1544360351382,CD,0.27448053626771207,0.5861249108397342,0.12974275622018389,0.009649098774227005,2.697898142877978e-06,slight,0.0
52 0225,34.25666667,-118.7433333,1962,HWB7,other,conventional,0.3728,none,1351350.0,526.5610190383807,C,0.9999998351032798,1.648966754790423e-07,4.4732778228725026e-14,7.289882673173083e-20,1.5465198636399002e-29,none,0.00668499850825393
52 0226,34.29666667,-118.72,1979,HWB4,other,seismic,0.6886,none,16469609.6565,310.2342822265646,CD,0.9999942669218599,5.714431958993922e-06,1.8575688541963996e-08,7.049243588106325e-11,1.7263910626732838e-16,none,2.8481989089176776
52 0227,34.29333333,-118.72,1979,HWB4,other,seismic,0.6886,none,7047040.000000001,307.8004370117177,CD,0.9999942669218599,5.714431958993922e-06,1.8575688541963996e-08,7.049243588106325e-11,1.7263910626732838e-16,none,1.2186913993543096
52 0228,34.29,-118.7216667,1979,HWB4,other,seismic,0.7572,none,4776968.196,305.9533596124247,CD,0.9999543583571485,4.539432540953923e-05,2.45892245697151e-07,1.425188425620061e-09,7.860376143480212e-15,none,6.601089075288763
52 0229,34.28,-118.73,1965,HWB7,other,conventional,0.7005,none,4997562.57,311.2559191894289,CD,0.9745197176347832,0.02547181269649047,8.467785064326646e-06,1.8836616683277922e-09,3.495132314323247e-16,none,3822.297147947018
52 0231,34.28333333,-118.6983333,1946,HWB3,other,conventional,0.8052,none,1351350.0,326.5537626914062,CD,0.9998441326688442,0.0001546942719973995,1.1641873116866225e-06,8.87176410657898e-09,8.266293684428473e-14,none,6.400238422115307
52 0232,34.275,-118.665,1965,HWB7,other,conventional,0.7282,none,1351350.0,394.0144897460504,C,0.9606181497465315,0.039361888595702006,1.9955674126035658e-05,5.983638847038991e-09,1.6796011461689953e-15,none,1597.9100341323335
52 0233,34.26833333,-118.6783333,1965,HWB5,other,conventional,0.5872,none,1351350.0,576.8354173315826,BC,0.26376540025668305,0.5895091611728074,0.13620230818417314,0.010519984168842736,3.1462174937432234e-06,slight,42181.85207435236
52 0234,34.26833333,-118.6816667,1965,HWB5,other,conventional,0.5872,none,3884530.65,576.3620191919338,BC,0.26376540025668305,0.5895091611728074,0.13620230818417314,0.010519984168842736,3.1462174937432234e-06,slight,121254.07722395223
52 0235,34.26666667,-118.7166667,1982,HWB4,other,seismic,0.649,none,1486485.0,558.3433996909143,C,0.9999985908628384,1.4058086548969397e-06,3.318839583807568e-09,9.66715061309451e-12,1.4256881708553908e-17,none,0.06308966931172064
52 0236,34.29166667,-118.72,1979,HWB4,other,seismic,0.6886,none,1486485.0,306.5835144042969,CD,0.9999942669218599,5.714431958993922e-06,1.8575688541963996e-08,7.049243588106325e-11,1.7263910626732838e-16,none,0.25706771705129966
52 0242,34.14333333,-118.8566667,1953,HWB5,other,conventional,0.2087,none,1351350.0,479.9842380815987,C,0.999997194730313,2.8050256934895132e-06,2.4395622134393494e-10,3.7305260590052043e-14,1.6846714911754797e-22,none,0.11374353034920487
52 0251,34.175,-118.7633333,1980,HWB16,other,seismic,0.3437,none,15122903.796,363.948038019299,C,1.0,0.0,1.4455260445833718e-17,1.627127269250741e-21,1.8075987265459368e-28,none,1.7494592770500188e-11
52 0252,34.18,-118.7683333,1980,HWB16,other,seismic,0.3531,none,4826914.092000001,371.2115961726978,C,1.0,0.0,4.550027350706637e-17,5.854754964063133e-21,8.002280161010231e-28,none,1.757713801416198e-11
52 0260,34.43166667,-118.76,1983,HWB6,other,seismic,0.3499,none,1486485.0,379.0741162109372,C,0.9979373521048484,0.0020626185171952654,2.9258633059889673e-08,1.1932325580298264e-10,3.096818667629196e-17,none,91.98506834062675
52 0261,34.43833333,-118.76,1983,HWB8,other,seismic,0.3499,none,1486485.0,375.18953125,C,0.999863241863134,0.00013626846429516163,4.878450939608483e-07,1.8274730264402257e-09,3.84563548738601e-15,none,6.135523931120418
52 0262,34.245,-118.8683333,1982,HWB5,other,seismic,0.2456,none,0.0,496.16724490586,C,0.9999029317207118,9.703657062185602e-05,3.169547444478226e-08,1.3191885620915321e-11,3.508511921353285e-19,none,0.0
52 0263,34.145,-118.835,1968,HWB5,other,conventional,0.2873,none,1351350.0,380.8480224608818,C,0.9983716725319057,0.0016264524326062779,1.8730007720920072e-06,2.0347155732952916e-09,2.9707739646403913e-16,none,66.14036861516807
52 0264,34.265,-118.7833333,1961,HWB7,other,conventional,0.5834,none,1351350.0,372.9853462946288,C,0.9979242731174066,0.0020756356835058202,9.119416355894742e-08,4.924057551452186e-12,1.2902009494777516e-19,none,84.15716890933321
52 0271,34.18,-118.8733333,1985,HWB4,other,seismic,0.2929,none,4063059.0,438.5073093852693,C,1.0,2.324944044043156e-18,7.041012486773694e-23,5.731790024339952e-27,8.925220597698476e-36,none,2.834144369408513e-13
53 0002,34.145,-118.7566667,1949,HWB5,other,conventional,0.2966,none,7973775.810000001,445.5584042083024,C,0.997308100989177,0.002687904663318239,3.989085461390918e-06,5.262042321881006e-09,1.084994600387661e-15,none,645.537610966176
53 0003,34.145,-118.7,1973,HWB7,other,conventional,0.3636,none,0.0,375.9653869628922,C,0.9999999154792693,8.452071354552102e-08,1.720730381665342e-14,2.3044767958735717e-20,3.734142436298347e-30,none,0.0
53 0004,34.00666667,-118.0966667,1921,HWB5,other,conventional,0.1624,none,19843385.562,269.3095625505877,D,0.9999999965785528,3.4214092896433967e-09,3.7990029066060265e-14,1.2327115578220549e-18,3.595861335890238e-28,none,0.0020368306251729077
53 0006,33.99666667,-118.0733333,1968,HWB5,other,conventional,0.147,none,17692166.9925,336.2382536535141,CD,0.9999999998441901,1.5580915250288324e-10,7.603755027022557e-16,1.3303841227390615e-20,1.3045804293142704e-30,none,8.269912262530039e-05
53 0009,34.45,-118.6133333,1968,HWB5,other,conventional,0.7886,none,1351350.0,338.0600467500642,CD,0.017591386924205255,0.31823261695566873,0.46166474863371565,0.20133559686911068,0.0011756506172996856,moderate,132418.39222194115
53 0010,34.07166667,-118.0716667,1951,HWB5,other,conventional,0.1606,none,1351350.0,291.9608110597917,CD,0.9999999975489766,2.4509985949025126e-09,2.4826356009369585e-14,7.518245409673887e-19,1.9413983337071375e-28,none,9.93673927183353e-05
53 0012,34.38333333,-118.53,1923,HWB5,other,conventional,1.01,none,2965942.98,332.5306274414062,CD,0.0004136726560347581,0.047931077828607394,0.29456047484852743,0.6215274302440241,0.03556734442280629,extensive,640501.2362797745
53 0015,34.415,-118.545,1916,HWB5,other,conventional,0.9037,moderate,3396640.7475,321.0732482910181,CD,0.0026563177672990212,0.13190648623918289,0.42564406209537997,0.4306718483034582,0.009121285594679876,extensive,525793.0831077944
53 0016,34.275,-118.3716667,1925,HWB5,other,conventional,0.4913,none,3839590.755,390.8386603172603,C,0.6024805334269718,0.3714590331886779,0.025370204650007926,0.000690196845000519,3.18893417544298e-08,none,51243.05714722517
